,Hotel_Names,Distance,Address,City,Ratings,Votes,Prices,Features
105,OYO Townhouse 180 Jayanagar,4.8 km,"Near Sagar Hospital, Tilak Nagar",['Bangalore'],4.5,['3187'],1520, Free Wi-Fi  AC  TV 
106,OYO 15358 Hotel Townhall,1.6 km,"Near Dhanlakshmi Bank, JC Road",['Bangalore'],4.1,['1259'],693, Elevator  Parking facility  Free Wi-Fi  
107,Capital O 23461 Champion Lotus,5.4 km,"Near IIFT, Vijayanagar",['Bangalore'],4.3,['1284'],898, Reception  Power backup  Security  
108,OYO 9605 Hotel Golden Inn,2.0 km,"Centrally Located, Near HKP Road, Shivaji Nagar",['Bangalore'],3.7,['1547'],827, Doctor on call  Hair Dryer  Reception  
109,OYO 11915 Varcity Park,5.5 km,"Near SV Hospitals, Madiwala",['Bangalore'],4.1,['2482'],896, Doctor on call  Reception  Ticket tour assistance  
110,OYO 87278 Royal Grand Residency,2.5 km,Bangalore Karnataka,"['Bangalore', 'Bangalore']",3.6,['470'],692, AC  TV  Queen Sized Bed  
111,SPOT ON 48822 Balaji Residency,6.9 km,L N Colony,['Bangalore'],3.6,['613'],449, AC  TV  AC  
112,Capital O 14203 Chetana Inn,9.0 km,"Centrally Located, Near Shanti Niketan School, Kodigehalli",['Bangalore'],4.3,['1415'],900, Reception  Free Wi-Fi  Power backup  
113,OYO Townhouse 364 Richmond Road,1.0 km,"Near Baldwin Women College, Richmond Town, Bengaluru",[],4.2,['1673'],1829, Reception  Free Wi-Fi  Power backup  
114,Capital O 70156 Victorian Comforts,2.4 km,"Near Adams Creation, Victoria Layout",['Bangalore'],4.0,['1312'],1435, Parking facility  Free Wi-Fi  Power backup  
115,Flagship 18338 White Fort,2.6 km,"Dispensary Rd, Kalasipalya,Bangalore",['Bangalore'],3.9,['1235'],695, Free Wi-Fi  Power backup  Card payment  
116,OYO 12761 High Street,1.8 km,Near Kalyan silks commercial street,['Bangalore'],4.4,['543'],1362, Parking facility  Reception  Free Wi-Fi  
117,OYO Townhouse 273 Hosur Main Road Bommanahalli,8.4 km,"Near krishna Theature Bommanahalli, Hosur main road",['Bangalore'],4.5,['1916'],1322, Parking facility  Elevator  Free Wi-Fi  
118,OYO 9251 Nar Comforts,2.1 km,"NAR Comforts,13, G.K temple street, opp. Vijayalaxmi theater, Chickpet",['Bangalore'],3.9,['1559'],962, AC  TV 
119,Capital O 68975 The Blueberry's,4.2 km,7th Block,['Bangalore'],3.7,['820'],913, TV  Parking facility  Reception  
120,SPOT ON 80165 S3 Comforts,8.1 km,Diagonally Opp Sri Krishna Nandagokula Hotel,['Bangalore'],3.7,['280'],571, Hair Dryer  Parking facility  Free Wi-Fi  
121,Flagship 11640 Hotel Aaira Inn,6.7 km,"Near Uttam Sagar, Banaswadi main road",['Bangalore'],4.2,['1227'],948, Private entrance  Reception  Free Wi-Fi  
