Hotel_Names,Distance,Address,City,Ratings,Votes,Prices,Features
SPOT ON 70822 Pnd Complex,7.9,R c i Rd,Hyderabad,3.8,617,889, Hair Dryer  Reception  Daily housekeeping  
OYO 86305 Hotel Aroma Classic,1.6,15-1-309 Feelkhana Near Acharaya Bhavan Baba Ramdav Mandir Bagum Bazar Hyderabad,Hyderabad,4,530,1418, Reception  Public washroom  Free Wi-Fi  
Capital O 897 Hotel Surabhi Elite,6.8,Kothapet,Hyderabad,4,1081,1660, Free Wi-Fi  AC  TV  
Collection O 7601 Hotel Park Heights Banjara Hills,6.6,Banjara Hills,Hyderabad,3.7,742,1198, Parking facility  Free Wi-Fi  Power backup  
OYO 701448 Heavens Inn,6.5,Secunderabad Mandal,Hyderabad,3.6,237,967, Reception  Free Wi-Fi  Geyser  
OYO Flagship 2635 Hotel Balaji Residency,1.7,"Near TVS Showroom, Himayatnagar",Hyderabad,3.7,13,1749, Parking facility  Elevator  Free Wi-Fi  
Flagship 14224 Happy Guest House,7.3,"Near Star Super Market, Banjara Hills",Hyderabad,3.9,698,1170, Free Wi-Fi  AC  AC  
Collection O 42514 Banjara Hills,7.1,"Near Aasha hospital, Venkat Nagar",Hyderabad,4.3,1743,1827, Parking facility  Reception  Free Wi-Fi  
Flagship 75583 Thatipally Mansion,6.8,Kothapet.,Hyderabad,4,2322,1485, Reception  Free Wi-Fi  Power backup  
OYOFlagship 80467H Hotel R Square ,7.6,LB NAGAR,Hyderabad,3.7,20,1125, Geyser  Power backup  AC  
OYO 1108 Hotel Saraswathi Residency,8.4,"Near Nalanda School, S.R. Nagar",Hyderabad,4.2,366,1866, Elevator  Free Wi-Fi  Geyser  
OYO Flagship 600 Hotel Skyhy,1.5,"Near Old MLA Quarters, Himayathnagar",Hyderabad,3.2,207,1749, Parking facility  Free Wi-Fi  Power backup  
OYO SilverKey 81097 Silverkey Halcyon Magnus,9.2,Sanath Nagar,Hyderabad,3.8,5237,2076, AC  TV  Queen Sized Bed  
Collection O 80304 Hotel Pnr Banjara Hills,6.4,Guru Bramaha,Hyderabad,3.7,786,1721, Parking facility  Elevator  Free Wi-Fi  
OYO Townhouse 1118 S R Nagar,8.3,Khairatabad Mandal,Hyderabad,3.4,457,1482, Parking facility  Reception  Free Wi-Fi  
Townhouse OAK Sri Simran Park Hotel,6,"Near Railway station, Secunderabad",Hyderabad,3.4,606,1510, Parking facility  Free Wi-Fi  Power backup  
Flagship 983 Hotel Surya Residency,7.5,"Near SR Nagar Police Station, Ameerpet",Hyderabad,4.1,312,1727, Parking facility  Elevator  Free Wi-Fi  
SPOT ON 41554 Hotel Sri Thirumala Paradise,2.8,Sevashrama,Bangalore,4.6,3632,559, Free Wi-Fi  CCTV cameras  Power backup  
SPOT ON 65593 Yatra Inn,2,Lalbagh,Bangalore,4.6,2717,829, Reception  Free Wi-Fi  CCTV cameras  
Capital O 36457 Boulevard Madiwala,5.5,B t m Layout,Bangalore,4.3,2216,1063, Private entrance  Reception  Free Wi-Fi  
Flagship 14397 Varcity Phi Pavilion,6.1,B t m Layout,Bangalore,4.3,4067,921, Living Room  Washing Machine  Balcony  
Capital O 62949 Regal Suites,4.8,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar",Bangalore,4,1125,711, Hair Dryer  Parking facility  Reception  
OYO Townhouse 180 Jayanagar,4.8,"Near Sagar Hospital, Tilak Nagar",Bangalore,4.5,3187,1520, Free Wi-Fi  AC  TV 
OYO 15358 Hotel Townhall,1.6,"Near Dhanlakshmi Bank, JC Road",Bangalore,4.1,1259,693, Elevator  Parking facility  Free Wi-Fi  
Capital O 23461 Champion Lotus,5.4,"Near IIFT, Vijayanagar",Bangalore,4.3,1284,898, Reception  Power backup  Security  
OYO 9605 Hotel Golden Inn,2,"Centrally Located, Near HKP Road, Shivaji Nagar",Bangalore,3.7,1547,827, Doctor on call  Hair Dryer  Reception  
OYO 11915 Varcity Park,5.5,"Near SV Hospitals, Madiwala",Bangalore,4.1,2482,896, Doctor on call  Reception  Ticket tour assistance  
OYO 87278 Royal Grand Residency,2.5,Bangalore Karnataka,Bangalore,3.6,470,692, AC  TV  Queen Sized Bed  
SPOT ON 48822 Balaji Residency,6.9,L N Colony,Bangalore,3.6,613,449, AC  TV  AC  
Capital O 14203 Chetana Inn,9,"Centrally Located, Near Shanti Niketan School, Kodigehalli",Bangalore,4.3,1415,900, Reception  Free Wi-Fi  Power backup  
